table,column,count,mean,std,min,1%,5%,50%,95%,99%,max
labels,game_pk,8680.0,680828.1479262672,39859.71717782293,632169.0,632272.79,632620.95,662907.5,746393.05,747915.21,748868.0
labels,yrfi,8680.0,0.25057603686635943,0.4333697308691045,0.0,0.0,0.0,0.0,1.0,1.0,1.0
team,team_fi_rate_sdt,17359.0,0.2524011518269631,0.024741384401413536,0.16047380430405797,0.1976502969957393,0.21298956585286635,0.24820164100258513,0.29390476156112216,0.3092751211586888,0.3406674959712759
starter,starter_fi_allow_rate_sdt,17359.0,0.25240094636981525,0.02474173825235126,0.16047380430405797,0.1976502969957393,0.21302832178408215,0.24819479896527505,0.29393477490251685,0.3092751211586888,0.3406674959712759
lineup,lineup_top4_ops_prior,8680.0,0.7498729686676251,0.020001355247962007,0.6622177083027032,0.7027884769301336,0.7169614808414088,0.7498524752065947,0.7828388350331507,0.7967900316465563,0.8305164808545453
lineup,lineup_samples,8680.0,25.0,0.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
pitch,pitch_fb_usage_x_whiff,8680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pitch,pitch_breaking_usage_x_whiff,8680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
